gid,trip_id,unixtime,north_utm,east_utm,longitude,latitude
302829,818,1543402064,5804458.01068,550884.403869,9.747696000001731,52.38800800000917
302830,818,1543402065,5804460.58932,550886.350985,9.74772499999695,52.38803099998548
302831,818,1543402066,5804464.06342,550888.833331,9.747762000006494,52.388062000033386
302832,818,1543402067,5804469.09752,550891.571787,9.747803000000136,52.38810700003605
302833,818,1543402068,5804473.02989,550895.342545,9.747858999997463,52.38814199995744
302834,818,1543402069,5804478.97001,550899.637022,9.747922999994016,52.38819500002828
302835,818,1543402070,5804485.35011,550903.450513,9.74798000000235,52.38825200002412
302836,818,1543402071,5804491.73162,550907.4001,9.748038999996997,52.38830900001273
302837,818,1543402072,5804497.77945,550911.353129,9.748098000004626,52.38836300000224
302838,818,1543402073,5804504.59954,550914.685613,9.748147999995505,52.38842399997287
302839,818,1543402074,5804510.98177,550918.703223,9.748207999995609,52.38848100002071
302840,818,1543402075,5804517.8075,550922.580113,9.748265999993857,52.38854200001057
302841,818,1543402076,5804522.94721,550924.772929,9.748298999999845,52.3885879999732
302842,818,1543402077,5804528.87256,550927.638213,9.74834199999205,52.38864099996148
302843,818,1543402078,5804534.02073,550930.647653,9.748386999993134,52.38868699999001
302844,818,1543402079,5804540.40297,550934.665218,9.748447000000246,52.38874400000557
302845,818,1543402080,5804547.22167,550937.861535,9.748495000005049,52.3888049999941
302846,818,1543402081,5804551.57575,550939.381852,9.748517999999104,52.38884399996268
302847,818,1543402082,5804556.60495,550941.643838,9.748552000000007,52.38888899997491
