gid,trip_id,unixtime,north_utm,east_utm,longitude,latitude,tile_lat_idx,tile_lon_idx
529060,38,1520706702,5804507.76045,550768.390848,9.745998999993873,52.38846600001241,192,333
529061,38,1520706703,5804512.01729,550771.273539,9.746041999996592,52.38850399999716,188,336
529062,38,1520706704,5804516.72466,550774.69606,9.746092999994282,52.3885459999884,184,339
529063,38,1520706705,5804522.31554,550777.496917,9.746134999995371,52.38859600001322,178,342
529064,38,1520706706,5804526.12958,550780.588341,9.746181000003782,52.38862999999247,174,345
529065,38,1520706707,5804531.27625,550783.461829,9.746224000001565,52.38867599997782,169,348
529066,38,1520706708,5804535.53661,550786.684757,9.746272000001742,52.388713999961226,165,352
529067,38,1520706709,5804540.67908,550789.149916,9.746308999999398,52.38876000003423,160,354
529068,38,1520706710,5804545.37312,550791.279398,9.74634100000578,52.388802000029216,155,356
529069,38,1520706711,5804550.06365,550793.068612,9.746368000005427,52.38884400002878,150,358
529070,38,1520706712,5804553.8784,550796.228058,9.74641500000292,52.38887799998602,147,361
529071,38,1520706713,5804559.81492,550800.182317,9.746473999994546,52.38893100003914,141,365
529072,38,1520706714,5804565.86336,550804.203472,9.746534000003674,52.38898499997027,135,369
529073,38,1520706715,5804572.68338,550807.536055,9.746584000000574,52.389045999963045,128,373
529074,38,1520706716,5804580.73043,550811.196259,9.746639000001023,52.3891180000352,120,377
529075,38,1520706717,5804585.87641,550814.00163,9.746681000002088,52.38916399996577,115,379
529076,38,1520706718,5804592.25645,550817.815144,9.746738000006143,52.38922100001101,108,383
529077,38,1520706719,5804598.62946,550820.948127,9.746784999996152,52.389278000000665,102,387
529078,38,1520706720,5804605.10457,550823.195279,9.746818999998457,52.38933600003924,96,389
529079,38,1520706721,5804610.13793,550825.865668,9.746859000001542,52.38938100002505,91,392
529080,38,1520706722,5804612.26742,550827.409036,9.746882000000854,52.38940000000455,89,393
529081,38,1520706723,5804614.05198,550827.86702,9.746888999999172,52.389415999962445,87,394
529082,38,1520706725,5804615.26635,550826.969712,9.746876000005154,52.38942699996208,86,393
529083,38,1520706727,5804614.48003,550826.229182,9.74686499999311,52.389420000008826,86,392
529084,38,1520706729,5804617.3586,550824.906335,9.746846000000875,52.38944599999708,83,391
529085,38,1520706730,5804620.36035,550824.739219,9.746843999995956,52.38947300003397,80,391
529086,38,1520706731,5804624.59544,550825.512192,9.746855999995356,52.389511000030026,76,391
529087,38,1520706732,5804628.05685,550826.769566,9.746875000005591,52.38954199998385,73,393
529088,38,1520706733,5804632.3067,550828.971618,9.746908000002012,52.38957999998956,68,395
529089,38,1520706734,5804638.23059,550831.700847,9.746949000004944,52.3896329999848,63,398
529090,38,1520706735,5804642.93309,550834.64686,9.74699300000105,52.38967500003329,58,401
529091,38,1520706736,5804648.52822,550837.855882,9.747041000005632,52.38972500002626,52,404
529092,38,1520706737,5804653.67984,550841.205594,9.747090999994834,52.38977099995831,47,407
529093,38,1520706738,5804659.60655,550844.207001,9.747136000005153,52.38982399996095,41,410
529094,38,1520706739,5804666.87081,550847.466814,9.747184999995207,52.38988899998028,34,414
529095,38,1520706740,5804674.46876,550850.723171,9.747234000007763,52.38995700003718,27,417
529096,38,1520706741,5804683.51829,550854.508982,9.747290999994188,52.390038000009845,18,421
529097,38,1520706742,5804692.78536,550857.816126,9.74734099999626,52.390121000015135,8,424
529098,38,1520706743,5804698.38191,550861.161189,9.747390999998204,52.39017099998673,3,428
534298,51,1539185085,5804696.33258,550867.375639,9.74748200000634,52.39015199998155,5,434
534299,51,1539185086,5804690.7529,550865.663799,9.747456000000977,52.39010199996568,10,432
534300,51,1539185087,5804682.73465,550864.793855,9.74744200000652,52.39002999996974,18,431
534301,51,1539185088,5804683.59283,550861.722371,9.747397000003142,52.39003800001231,18,428
534302,51,1539185089,5804678.48127,550862.251602,9.747403999997845,52.38999199999103,23,429
534303,51,1539185090,5804677.56683,550859.879016,9.747369000002443,52.38998399995741,24,426
534304,51,1539185091,5804672.44332,550859.251379,9.747359000001245,52.38993799998118,29,426
534305,51,1539185092,5804674.1864,550855.694338,9.747306999993093,52.38995399998835,27,422
534306,51,1539185093,5804669.48671,550853.020569,9.747267000005715,52.389912000034485,32,419
534307,51,1539185094,5804663.01088,550850.705436,9.747231999994977,52.38985399997585,38,417
534308,51,1539185095,5804658.75048,550847.482649,9.747183999993462,52.38981600002466,42,414
